First Name,Last Name,Account Number,Maturity Date,Original Loan Amount,Current Balance,Prepayment,Payment Frequency,Sub_acc_Current_Balance,Sub_acc_Interest_Type,Sub_acc_Payment_Frequency
Gregg,Holmes,3753712,23/08/2025,404474.51,234756.92,5311.78,Monthly,43691.44,Variable,Monthly
Christopher,Nguyen,3826856,24/03/2032,261466.73,170990.47,1417.01,Monthly,29058.91,Variable,Monthly
Alisha,Cooper,3522623,18/09/2033,207042.23,189953.84,2573.1,Monthly,35073.1,Variable,Monthly
Jennifer,Lopez,8490333,17/03/2025,47226.43,33456.35,8859.28,Monthly,22029.58,Fixed,Monthly
Melissa,Weber,8757372,21/12/2031,319267.25,138072.57,3459.91,Monthly,18032.58,Fixed,Monthly
Laura,Allison,2876245,08/03/2032,306354.95,66094.11,6134.88,Monthly,16346.24,Fixed,Monthly
Gabrielle,Reyes,5212112,19/05/2028,354209.69,225675.46,1712.65,Monthly,10635.8,Variable,Monthly
Victor,Jimenez,8937271,15/05/2034,216581.0,10597.39,4483.04,Monthly,11076.2,Fixed,Monthly
Jason,Cross,5808065,27/03/2026,392874.97,335361.82,8352.98,Monthly,43500.24,Variable,Monthly
Scott,Green,0840373,21/12/2028,276035.77,26347.62,8729.76,Monthly,21452.09,Variable,Monthly
Sabrina,Miller,5798785,29/04/2026,453603.3,52067.95,5422.14,Monthly,13323.49,Fixed,Monthly
Suzanne,Ferguson,5563985,26/08/2031,155911.54,134642.92,14.77,Monthly,35463.14,Variable,Monthly
Michael,Young,2789128,15/06/2033,121257.51,46524.59,8511.52,Monthly,1320.86,Variable,Monthly
Samuel,Greer,9863458,04/10/2028,297119.24,76850.02,4344.92,Monthly,3860.03,Fixed,Monthly
Andrew,Ross,3107468,19/09/2026,275763.65,137403.89,513.75,Monthly,25344.0,Fixed,Monthly
Allison,Sampson,6338661,03/10/2034,441521.55,315738.29,6823.94,Monthly,47897.32,Fixed,Monthly
Gregory,Bradley,9065303,02/02/2030,242325.67,87552.01,4269.41,Monthly,19430.32,Variable,Monthly
